Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,
12,0.0,180.0,0.0,0.0,6.322190820323126,0.0,1,,,,,
13,0.0,180.0,0.0,0.0,0.0,0.0,1,,,,,
14,0.0,180.0,0.0,0.0,0.0,0.0,1,,,,,
15,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,
16,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,
17,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,
18,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,
19,0.0,0.0,180.0,0.0,0.0,7.109857804458031,2,,,,,
20,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
21,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
22,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
23,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
24,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
25,180.0,0.0,180.0,5.504762507114218,0.0,0.0,2,,,,,
26,180.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
27,360.0,0.0,180.0,6.09652469851613,0.0,0.0,2,,,,,
28,360.0,0.0,180.0,0.0,0.0,0.0,2,,,,,
29,540.0,0.0,180.0,6.374807656815958,0.0,0.0,3,,,,,
30,540.0,180.0,180.0,0.0,5.215932627684161,0.0,3,,,,,
31,540.0,360.0,180.0,2.738291022644409,4.989056569167705,0.0,3,,,,,
